winner,turns,win_rate_player_1,win_rate_player_2,cards_played_player_1,cards_played_player_2,hand_value_player_1,hand_value_player_2,score_player_1,score_player_2
Random,13,0.4427860696517413,0.5572139303482587,8,8,0,45,3385,3210
Random,20,0.44554455445544555,0.5544554455445545,10,10,0,74,3385,3284
CardCounter,34,0.4433497536945813,0.5566502463054187,18,18,62,0,3447,3284
CardCounter,37,0.4411764705882353,0.5588235294117647,19,19,62,0,3509,3284
Random,11,0.44390243902439025,0.5560975609756098,7,5,0,91,3509,3375
Random,36,0.44660194174757284,0.5533980582524272,18,18,0,19,3509,3394
Random,35,0.4492753623188406,0.5507246376811594,21,17,0,10,3509,3404
Random,14,0.4519230769230769,0.5480769230769231,7,7,0,13,3509,3417
CardCounter,16,0.44976076555023925,0.5502392344497608,8,10,7,0,3516,3417
Random,38,0.4523809523809524,0.5476190476190477,21,20,0,40,3516,3457
Random,75,0.4549763033175355,0.5450236966824644,40,39,0,20,3516,3477
Random,18,0.45754716981132076,0.5424528301886793,9,9,0,14,3516,3491
CardCounter,68,0.45539906103286387,0.5446009389671361,36,38,0,0,3516,3491
Random,42,0.45794392523364486,0.5420560747663551,24,24,0,24,3516,3515
CardCounter,94,0.4558139534883721,0.5441860465116279,48,49,43,0,3559,3515
CardCounter,51,0.4537037037037037,0.5462962962962963,26,28,20,0,3579,3515
CardCounter,18,0.45161290322580644,0.5483870967741935,11,10,34,0,3613,3515
CardCounter,155,0.44954128440366975,0.5504587155963303,81,83,109,0,3722,3515
CardCounter,30,0.4474885844748858,0.5525114155251142,18,16,11,0,3733,3515
CardCounter,13,0.44545454545454544,0.5545454545454546,6,7,63,0,3796,3515
CardCounter,64,0.4434389140271493,0.5565610859728507,35,34,6,0,3802,3515
CardCounter,17,0.44144144144144143,0.5585585585585585,8,9,25,0,3827,3515
CardCounter,22,0.43946188340807174,0.5605381165919282,11,12,2,0,3829,3515
CardCounter,43,0.4375,0.5625,22,24,10,0,3839,3515
CardCounter,52,0.43555555555555553,0.5644444444444444,27,28,9,0,3848,3515
Random,56,0.43805309734513276,0.5619469026548672,30,31,0,82,3848,3597
CardCounter,18,0.43612334801762115,0.5638766519823789,10,9,16,0,3864,3597
CardCounter,29,0.4342105263157895,0.5657894736842105,16,15,5,0,3869,3597
Random,29,0.4366812227074236,0.5633187772925764,16,14,0,72,3869,3669
CardCounter,11,0.43478260869565216,0.5652173913043478,6,6,102,0,3971,3669
CardCounter,20,0.4329004329004329,0.5670995670995671,11,10,7,0,3978,3669
CardCounter,19,0.43103448275862066,0.5689655172413793,9,10,57,0,4035,3669
CardCounter,16,0.4291845493562232,0.5708154506437768,8,9,63,0,4098,3669
Random,158,0.43162393162393164,0.5683760683760684,82,86,0,20,4098,3689
CardCounter,40,0.4297872340425532,0.5702127659574469,22,21,37,0,4135,3689
CardCounter,49,0.4279661016949153,0.5720338983050848,26,27,22,0,4157,3689
Random,29,0.43037974683544306,0.569620253164557,18,15,0,52,4157,3741
Random,88,0.4327731092436975,0.5672268907563025,47,47,0,56,4157,3797
CardCounter,60,0.4309623430962343,0.5690376569037657,32,31,6,0,4163,3797
Random,70,0.43333333333333335,0.5666666666666667,39,36,0,20,4163,3817
Random,17,0.43568464730290457,0.5643153526970954,9,8,0,50,4163,3867
Random,16,0.4380165289256198,0.5619834710743802,8,8,0,41,4163,3908
CardCounter,56,0.43621399176954734,0.5637860082304527,32,31,47,0,4210,3908
Random,138,0.4385245901639344,0.5614754098360656,71,76,0,35,4210,3943
CardCounter,22,0.43673469387755104,0.563265306122449,11,13,44,0,4254,3943
CardCounter,9,0.4349593495934959,0.5650406504065041,4,7,66,0,4320,3943
CardCounter,62,0.4331983805668016,0.5668016194331984,35,33,7,0,4327,3943
CardCounter,25,0.4314516129032258,0.5685483870967742,12,13,20,0,4347,3943
CardCounter,16,0.42971887550200805,0.570281124497992,8,10,21,0,4368,3943
CardCounter,17,0.428,0.572,8,9,13,0,4381,3943
Random,19,0.4302788844621514,0.5697211155378487,11,9,0,84,4381,4027
CardCounter,15,0.42857142857142855,0.5714285714285714,8,8,21,0,4402,4027
CardCounter,64,0.4268774703557312,0.5731225296442688,36,34,18,0,4420,4027
CardCounter,105,0.4251968503937008,0.5748031496062992,57,55,4,0,4424,4027
CardCounter,106,0.4235294117647059,0.5764705882352941,55,59,26,0,4450,4027
Random,60,0.42578125,0.57421875,32,33,0,8,4450,4035
CardCounter,48,0.42412451361867703,0.5758754863813229,26,26,13,0,4463,4035
CardCounter,27,0.42248062015503873,0.5775193798449613,13,15,59,0,4522,4035
